accelX, accelY, accelZ, gyroX, gyroY, gyroZ, magX, magY, magZ, timestamp
0.07, -0.08, 1.06, -2.87, -0.37, -0.12, 0.21, -0.00, 0.42, 36553
0.04, -0.08, 1.02, -5.73, 1.71, 4.82, 0.21, -0.00, 0.41, 36563
-0.05, -0.08, 0.96, -5.79, 2.32, 6.34, 0.21, -0.00, 0.41, 36573
-0.10, -0.06, 0.95, -3.96, -0.18, 2.93, 0.21, 0.00, 0.41, 36583
-0.09, -0.06, 0.92, -1.77, -1.83, -0.18, 0.21, -0.00, 0.41, 36593
-0.07, -0.06, 0.95, 1.22, -0.67, -1.16, 0.21, -0.00, 0.42, 36603
-0.03, -0.07, 1.01, 2.13, 4.63, -2.38, 0.22, -0.00, 0.42, 36613
0.02, -0.07, 1.02, 0.98, 4.57, -0.43, 0.21, -0.00, 0.41, 36623
0.00, -0.08, 1.02, 1.04, 4.45, 2.99, 0.21, -0.00, 0.41, 36633
-0.04, -0.08, 1.05, -1.16, 5.37, 3.23, 0.21, -0.00, 0.41, 36643
-0.03, -0.06, 1.02, -4.63, 1.04, 2.80, 0.21, -0.00, 0.42, 36653
-0.06, -0.05, 0.99, -4.27, -3.23, 3.11, 0.21, -0.00, 0.42, 36663
-0.10, -0.06, 0.97, -3.17, -6.22, 1.59, 0.21, -0.00, 0.42, 36673
-0.09, -0.06, 0.97, -1.83, -11.71, -2.80, 0.21, -0.00, 0.41, 36683
-0.03, -0.05, 0.93, 0.43, -12.38, -3.72, 0.21, 0.00, 0.41, 36693
0.00, -0.05, 0.96, 1.46, -2.68, -0.49, 0.21, 0.00, 0.41, 36703
-0.06, -0.05, 0.96, 1.52, -2.20, 1.89, 0.21, -0.01, 0.42, 36713
-0.11, -0.06, 0.99, 3.29, -1.52, -0.55, 0.21, -0.00, 0.42, 36723
-0.06, -0.06, 1.03, 2.56, -2.13, -3.90, 0.21, -0.00, 0.42, 36733
-0.00, -0.07, 1.07, -0.06, -2.07, -3.78, 0.21, -0.00, 0.42, 36743
0.05, -0.07, 1.06, -3.54, -3.66, -1.65, 0.21, -0.00, 0.41, 36753
0.02, -0.08, 1.02, -3.72, -4.39, 1.40, 0.21, -0.00, 0.42, 36763
-0.02, -0.06, 0.99, -3.84, -7.07, 1.65, 0.21, -0.01, 0.42, 36773
-0.04, -0.07, 0.92, -1.16, -4.70, 2.07, 0.21, -0.00, 0.42, 36783
-0.07, -0.07, 0.92, 2.44, -3.41, 0.61, 0.21, -0.00, 0.42, 36793
-0.08, -0.06, 0.98, 2.38, -0.12, -1.71, 0.21, -0.00, 0.42, 36803
-0.07, -0.06, 0.98, 1.16, -1.16, -3.72, 0.21, -0.00, 0.41, 36813
-0.05, -0.06, 0.99, 1.40, -2.56, -5.43, 0.21, -0.01, 0.42, 36823
-0.02, -0.06, 1.01, 1.10, -5.37, -5.37, 0.21, -0.01, 0.42, 36833
0.00, -0.07, 1.01, 1.04, -6.28, -4.70, 0.21, -0.00, 0.42, 36843
0.05, -0.06, 1.03, -0.98, -1.34, -2.26, 0.21, -0.00, 0.42, 36853
-0.01, -0.06, 0.98, -2.32, -0.12, 2.13, 0.20, -0.00, 0.42, 36863
-0.08, -0.06, 0.94, -0.67, -1.34, 0.61, 0.21, -0.00, 0.41, 36873
-0.11, -0.05, 0.92, 4.27, -5.73, -3.17, 0.21, -0.01, 0.42, 36883
-0.09, -0.07, 0.99, 5.61, -6.46, -9.27, 0.21, -0.00, 0.42, 36893
0.01, -0.08, 1.05, 2.32, -5.61, -10.98, 0.21, -0.00, 0.42, 36903
0.06, -0.06, 1.04, -0.73, -0.37, -8.84, 0.20, -0.00, 0.42, 36913
0.06, -0.07, 0.98, -0.55, 0.12, -3.66, 0.20, 0.00, 0.41, 36923
0.01, -0.09, 1.02, 1.89, 0.24, -1.46, 0.21, -0.01, 0.42, 36933
0.01, -0.07, 1.06, -0.43, -0.30, -2.26, 0.21, -0.00, 0.42, 36943
0.03, -0.06, 1.02, -4.09, -1.95, -0.06, 0.21, -0.00, 0.42, 36953
0.01, -0.07, 0.98, -4.33, -0.49, 1.46, 0.20, -0.00, 0.42, 36963
0.00, -0.06, 0.98, -3.29, 1.28, 0.91, 0.20, -0.00, 0.41, 36973
0.02, -0.06, 0.97, -3.23, 2.93, 1.71, 0.21, 0.00, 0.42, 36983
-0.01, -0.06, 0.97, -1.95, 2.87, 3.05, 0.21, -0.00, 0.42, 36993
-0.07, -0.06, 0.96, -0.98, 1.83, 1.40, 0.21, -0.00, 0.42, 37003
-0.10, -0.06, 0.94, 1.04, 0.12, -1.59, 0.21, 0.00, 0.42, 37013
-0.08, -0.06, 0.95, 3.90, -3.35, -5.06, 0.21, -0.00, 0.42, 37023
-0.00, -0.08, 1.00, 4.39, -4.57, -7.44, 0.20, 0.00, 0.42, 37033
0.08, -0.07, 1.04, 2.13, -4.82, -5.12, 0.21, -0.00, 0.42, 37043
0.09, -0.08, 1.02, 0.24, -4.63, -0.06, 0.21, -0.00, 0.42, 37053
0.03, -0.07, 1.00, -0.55, -7.50, 3.11, 0.20, -0.00, 0.42, 37063
-0.05, -0.08, 0.98, 0.06, -8.90, 1.46, 0.20, -0.00, 0.42, 37073
-0.02, -0.08, 1.01, 1.65, -8.96, -1.16, 0.20, 0.00, 0.42, 37083
0.02, -0.07, 1.03, 0.73, -7.93, -0.98, 0.20, -0.00, 0.41, 37093
0.05, -0.08, 1.02, 0.18, -3.05, 0.85, 0.21, -0.00, 0.42, 37103
0.02, -0.06, 1.00, -0.30, 0.37, 2.93, 0.20, -0.01, 0.42, 37113
-0.03, -0.06, 0.96, 1.95, 1.89, 3.84, 0.20, -0.01, 0.42, 37123
-0.09, -0.06, 1.00, 4.63, 1.89, 1.52, 0.20, -0.00, 0.42, 37133
-0.06, -0.07, 0.99, 5.06, 0.37, -2.74, 0.20, -0.00, 0.42, 37143
0.01, -0.06, 1.02, 5.37, -0.30, -2.68, 0.20, -0.00, 0.42, 37153
0.04, -0.07, 1.06, 3.72, 1.46, -0.30, 0.20, -0.01, 0.42, 37163
0.03, -0.07, 1.06, 0.18, 1.28, 2.20, 0.20, -0.00, 0.42, 37173
0.00, -0.06, 1.03, -2.62, 3.35, 3.41, 0.21, -0.00, 0.42, 37183
-0.04, -0.06, 0.99, -3.60, 1.52, 2.99, 0.20, -0.00, 0.42, 37193
-0.08, -0.06, 0.97, -2.01, -0.61, 0.37, 0.20, -0.00, 0.42, 37203
-0.06, -0.05, 0.98, 0.43, -0.79, -2.62, 0.21, -0.00, 0.42, 37213
-0.02, -0.06, 0.99, 1.10, 1.83, -3.54, 0.21, -0.00, 0.42, 37223
0.02, -0.06, 0.98, 0.79, 3.17, -2.38, 0.21, -0.00, 0.42, 37233
0.00, -0.06, 0.98, 1.10, 3.29, -0.43, 0.20, -0.00, 0.42, 37243
-0.02, -0.06, 0.99, 1.52, -0.12, -0.55, 0.20, 0.00, 0.42, 37253
